from_id to_id,edge_weight
1688220448 1688220440,0.021799071376976856 1688220451,0.02163813275875823
5020188995 7146633832,0.011094746688350943 5020188995,0.1279348057866007
1688220451 1688220448,0.02163813275875823 1688220476,0.026867190566405224
1658978636 3351492857,0.003779149161820063 1658979092,0.003920528030076163
1658978667 1658978721,0.00966959039504997 1658978905,0.008809772919679987
1416888683 1416888684,0.02677846839568377 1416888705,0.035793355072220485
1416888684 1416888683,0.02677846839568377 1416888684,0.04070891876332724
1416888693 1416888705,0.03229927546421951 1416888718,0.030623430207435878
1416888705 1416888693,0.03229927546421951 1416888683,0.035793355072220485
1416888718 2078478774,0.04038080902004919 1416888693,0.030623430207435878 419071638,0.05717733835318978
1658978703 3351492839,0.05523808447137283 544802288,0.1562374182270617
1301021072 1301021075,0.18313895267734942 1301021073,0.03376334885998902
1301021073 419077076,0.01728377476419696 1301021072,0.03376334885998902 419076964,0.05071760075349868
1301021074 419076824,0.03941840671633658 1301021080,0.10698712239091784
1301021075 1301021072,0.18313895267734942 1301021080,0.02999568551285569
1301021080 1301021075,0.02999568551285569 1301021074,0.10698712239091784
1658978721 1658978667,0.00966959039504997 419065479,0.010846459386803186
1658978724 419065949,0.016759622404436406 419065874,0.018009754088896514
1296957871 419084253,0.06735023166551202 419087279,0.07486843249338118
1658978760 419066020,0.016077042784182878 419065891,0.01673062502377841
419065770 419065827,0.03094895366953338 419069112,0.12037110298958423
4601283031 419078344,0.02209232336870406 1279008916,0.1216097001112495
1658978783 544802294,0.005122513420548413 1658978911,0.0059572847550308705
1658978790 775567793,0.030568423220443484 1658978821,0.0222669959171847
1658978817 419065506,0.011019617098152247 1658978830,0.012854508761727385
1658978821 1658978790,0.0222669959171847 775567729,0.017482123159438576
1658978828 1658978901,0.013581270427087969 3351492839,0.06694762225994608
1658978830 1658978817,0.012854508761727385 419065479,0.013326226244425464
1658978878 1658979223,0.006154531309128901 1658979053,0.021890056919876645 1658979075,0.033098472938890726
1658978901 1658978828,0.013581270427087969 544802278,0.014462732819197806
1658978905 1658978667,0.008809772919679987 1658979251,0.009341127781702444
1658978909 1658979396,0.024634131149880275 419066156,0.01946941355811872
1658978911 1658978783,0.0059572847550308705 775567847,0.005772142535383916
1658978944 419065995,0.018950940917137754 419066036,0.01620921371435285
1323696768 6448516292,0.019568932166594333 6448237947,0.021165582195351442 3218901511,0.048658607345140464
419091857 6883627658,0.011792956710319139 419089586,0.028342915300183222
1271267974 1271268033,0.0924367068292079 1271267975,0.01966596614230805 419053939,0.018342270691438813 419053986,0.023615661475162964
1271267975 1271267974,0.01966596614230805 1271278667,0.03940470073601411
3889955465 3170063319,0.009115174147126892 3750353568,0.02042648188800626
3889955469 3656255141,0.010674153962092852 419071773,0.024101327314698363
1617035918 1628056379,0.01680873051895296 1617036041,0.02784592796311306 1628056387,0.03855870938605907
1271267985 419053874,0.020553541949165175 1271268024,0.021637776589607666
1271267989 1271268033,0.07002506807540021 1271314743,0.044508619076277164 419053958,0.09439180606536121
1271267992 1271268011,0.025852149918158845 1271268037,0.06419338416117704
1277952666 1277952688,0.008782911420975321 419071710,0.007321744749291471
419091862 419089650,0.025543506888291736 419091631,0.03122179205970572
1271267996 419053752,0.031203832799888104 419053790,0.014168035074187749
1271267997 1216227042,0.04070398852910353 1271267997,0.07689122393174343
1277952670 419071930,0.06266493152605994 1277952713,0.058888464395852234 419071994,0.005143015638208467
1271267999 1271268047,0.01938600151164842 1271268011,0.011639524895051252
1271268009 1271268024,0.02199964628914277 419053904,0.010969430807617763
1271268011 1271267992,0.025852149918158845 1271267999,0.011639524895051252
1277952688 1277952666,0.008782911420975321 1277952723,0.008452993300226024
3566600881 419070566,0.028653078722179433 4863944154,0.04915198526837578
3566600882 3338485605,0.047648225436824926 419070569,0.04486218515852108
1277952692 419072594,0.01661680931436565 6790249759,0.006234987114374943
1617035957 1617036056,0.045631077556213845 1617041430,0.00823190345871498
1271268021 419053904,0.04027410583042653 1271268047,0.020847342584430648
1277952695 1277952732,0.042568319372375193 1277952719,0.008234149886284048
1271268024 1271268009,0.02199964628914277 1271267985,0.021637776589607666
1271268025 1778247343,0.007486103415646303 1271290628,0.06317630252850982
1617035962 1617036041,0.021266048465324035 1617036056,0.025936136614928107
1271268030 1271268032,0.05683103420127322 419053963,0.015210608274490653
1263141567 1186480739,0.10375902981371057 1263141694,0.045467673254698276 419038115,0.11888530421706305
1271268032 1271268030,0.05683103420127322 1271268037,0.015041580421117648 1271278666,0.012975356094863931
1271268033 1271267974,0.0924367068292079 1271267989,0.07002506807540021 419053855,0.036471147272417744 419053673,0.08886539682889706
1617035970 419051200,0.06544558185403314 1615752853,0.01805637936277488
1271268034 419053942,0.03539331635750303 419053958,0.09297327611279683 419053866,0.10982380057457816
1271268037 1271268032,0.015041580421117648 1271267992,0.06419338416117704
1263141577 1186480668,0.031470752433349236 1263141672,0.03301689812186551
1617035978 419051200,0.04089607721678266 1617036017,0.03499299909240791
2011038410 5625571163,0.019623348439529488 419056702,0.027426117369256188
1277952713 1277952670,0.058888464395852234 1277952732,0.030836017902457505
1271268047 1271267999,0.01938600151164842 1271268021,0.020847342584430648
1277952719 1277952695,0.008234149886284048 1277952723,0.008482653152993352
1617035986 1617041430,0.006791278111788216 1617036061,0.016331430881862414
1277952723 1277952688,0.008452993300226024 1277952719,0.008482653152993352
1263141593 1263141727,0.017117063754206487 1263141694,0.02427792034274148
1277952732 1277952695,0.042568319372375193 1277952713,0.030836017902457505
4120773343 419040649,0.1771013206133814 419041092,0.0922466287497769
1658979042 1658979048,0.016098585337276237 419065556,0.012962646923872084
1658979047 775567847,0.005513665150979587 1658979112,0.006089267895799791
1658979048 1658979042,0.016098585337276237 1658979416,0.015963886416140903
419065826 419065740,0.010719027270613005 6689592643,0.03075526429603908
3227910892 419070582,0.07274302976912993 419070604,0.052914146939838085
1658979053 1658978878,0.021890056919876645 775567648,0.020592822043013565
1263141615 1186480407,0.03388163329993528 1263141743,0.04939182384920297
419065827 419065770,0.03094895366953338 419065788,0.08315424509641506
1617036017 1617035978,0.03499299909240791 419051492,0.15119800578785567
1658979057 1658979092,0.003866527434578939 1658979140,0.005340036099017484
3227910897 419070522,0.027674479934364275 419070607,0.026581534741210333
3227910900 419075078,0.02694713265441189 419070505,0.023542939614109408 419070522,0.013265179564974269
2352612086 419041386,0.14670334338333668 419041548,0.03640184877925392
419037947 419037964,0.6382787988127169 3171583468,0.17169494445247024
419037952 4114670039,0.1948168034313348 4114670093,0.03555824080266605 508150890,0.025431721547032632
1658979075 1658978878,0.033098472938890726 775567793,0.020414105999868266
419037957 4114670093,0.013808374356028504 6868029783,0.050936257211407494 419037959,0.03893279233479233
419037958 508150890,0.02794623527143232 6868029766,0.15905644429762278 4114670093,0.03180925564349801
419037959 419037957,0.03893279233479233 4114670029,0.1998660229688534
419037960 419037987,0.05284957706194815 419037964,0.054252718249093626
1617036041 1617035962,0.021266048465324035 1617035918,0.02784592796311306
419037964 419037947,0.6382787988127169 419037960,0.054252718249093626
1658979084 419066105,0.022216086801785533 3351492858,0.02937669167590354
419037971 847563584,0.1937994187146882 419037972,0.01644910439349484 419037974,0.2520613590801646 1262215228,0.34870320450132986
419037972 419037971,0.01644910439349484 4114670040,0.40095935010410505 847563531,0.19411203306590882
1658979092 1658979057,0.003866527434578939 1658978636,0.003920528030076163
419037974 419037971,0.2520613590801646 4114670038,0.13687558147610468 419037974,0.8117847374359458
419037975 419037976,0.015847905217609738 1204344632,0.028198166866826684 1141979603,0.021290027371716348
419037976 419037975,0.015847905217609738 1262192250,0.04268065417929478 1141979835,0.04665856412099711
1617036056 1617035957,0.045631077556213845 1617035962,0.025936136614928107
1617036061 1617035986,0.016331430881862414 419051492,0.0075757838035768145
1263141662 419038115,0.015997222350610615 419038070,0.01718374947554711
419037983 1191026138,0.3708742430074049 419037986,0.08186546389092034
419037985 419037986,0.049726296403066576 419037987,0.050473709511449374
419037986 419037985,0.049726296403066576 419037983,0.08186546389092034
419037987 419037960,0.05284957706194815 419037985,0.050473709511449374
1263141670 5650007723,0.0025315789940950095 5650007724,0.0035240151936649236 1204390716,0.002397693502218104
1263141672 1263141577,0.03301689812186551 1263141737,0.028868984575365304
1658979112 1658979047,0.006089267895799791 775567605,0.00585075658143886
419037994 1208623809,0.6392852927796076 1141979726,0.007560891080786754 1208569986,0.6485704524167499
1658979113 775567731,0.03468850431731597 6368886533,0.02230689213852901
419038002 419038055,0.7772825935208532 847563528,0.9801481750176372 1141979726,0.008094206610959363 419038002,0.6122114493245606
4120773436 419040959,0.09817069187265208 419040623,0.10123979035964586
1263141694 1263141567,0.045467673254698276 1263141593,0.02427792034274148
1658979140 1658979057,0.005340036099017484 1658979223,0.004399482918824933
1658979147 419065556,0.01406791154293567 1658979325,0.014556989807353718
1658979152 419065990,0.07810702225442318 1658979396,0.10083149769813242
419038034 5213959415,0.11092466722228504 3163434435,0.02925201506340327 1124811704,0.02726711239300209
419038039 419038041,0.03610594171586971 559661209,0.07324114649916658
2352612183 2352612189,0.017738870160711843 419041548,0.3144764200247245
419038041 419038039,0.03610594171586971 419038080,0.08029964807427432
419038042 1124811704,0.2513267138876967 419038044,0.055090508387161057
419038044 419038042,0.055090508387161057 419038081,0.15485096135568957
2352612189 2352612183,0.017738870160711843 419041681,0.012921288403594597
1263141726 1263158362,0.055677512217402615 1263105838,0.011059920974530844 1263141726,0.12181638146990864
1263141727 1263141593,0.017117063754206487 1263141746,0.018967045855678998
419038051 1204219322,0.013055332767240238 419038058,0.28779803763121237
419038052 1204218971,0.1268346021050999 5213959415,0.36023536403715356
419038055 419038002,0.7772825935208532 5703086944,0.49065256551945435 1210296623,0.08453899080778021
1263141737 1263141672,0.028868984575365304 1213025271,0.05551525460157925
419038058 419038051,0.28779803763121237 420349404,0.5944957575225214 1213050211,0.14626260833434762 3163402335,0.3565367091412051
1263141741 5650007729,0.018201293291592268 1263141741,0.02957357692542898
419038062 1222099359,0.14915179335037257 419038067,0.05719289607977865 559661215,0.07342185574466009
1263141743 1263141615,0.04939182384920297 1263141746,0.02455323664311009
419038063 419038079,0.2442748478838768 419038066,0.03252680510470755 419038093,0.5704680151435303 6434422122,0.010100090836850257
419038065 419038081,0.24448279829959285 5321583805,0.2567944182821404
419038066 419038063,0.03252680510470755 3232211180,0.021981494765246568
419038067 419038062,0.05719289607977865 559661224,0.1319283674238752
1263141746 1263141727,0.018967045855678998 1263141743,0.02455323664311009
419038068 419038070,0.17773996617400084 6918294724,0.23871942421155978
419038070 419038068,0.17773996617400084 1263141662,0.01718374947554711 1164486069,0.010928575255315817
419038076 6434422122,0.00630496792524821 1208542705,0.5021482457041496 1263181748,0.2271177569277454 1210318463,0.020347700243727923
419038079 419038063,0.2442748478838768 1259840671,0.3915623954610116 5703086943,0.010036657378562495
419038080 419038041,0.08029964807427432 1222099349,0.06772691262439721
419038081 419038065,0.24448279829959285 419038044,0.15485096135568957 3163402335,0.40459347713798344 3232211183,0.16784280970611187
1658979203 3682658934,0.01120759795784312 6368846877,0.018699702483860173
1658979207 1658979394,0.006646473969779359 544802291,0.012750795217616177
1658979210 419066156,0.021755538441907907 419066105,0.019307750838830927
419038092 1263181748,0.016305592091569714 5703086943,0.006489595475386825 1263181731,0.013052652515568872 5703410350,0.020720405502210996
419038093 419038124,0.15181750503111366 419038063,0.5704680151435303 5268027148,0.14885192874338157
2352612238 419041930,0.04338284535815328 1141979931,0.07584179542793176
1658979214 544802288,0.06645079476854703 3351492851,0.04445539967257197
419038099 2767947695,0.024758372016428592 1263105846,0.0318200144437447 1186480741,0.014994969460600055
1658979223 1658978878,0.006154531309128901 1658979140,0.004399482918824933
419038104 1186480568,0.06844659841961676 1236570262,0.26561849558559775 1186480474,0.07523273632739542 1188382005,0.010753095841940782
4120773530 419041092,0.09146297773678977 419041273,0.10280222121664793
2081817498 1306640670,0.11974093993062251 1369637306,0.04829307304968323
6416368538 6724860419,0.16044840801259602 419063751,0.010546807022282795
1608909725 1608909806,0.1397339548787078 419051099,0.19577078972596496
1608909726 1235748379,0.022586099136623555 1608909840,0.11364086019198345
6416368541 419063733,0.011107553523851054 6382846286,0.255051525409953
6416368539 419063751,0.021614814931913546 419063902,0.12506109365062043
6416368540 419063939,0.10323454636883489 419063733,0.02190494454219026
419038115 1263141662,0.015997222350610615 1263141567,0.11888530421706305
419038116 1204219429,0.03778886290600805 1263158476,0.033186370549842394 3547618911,0.015026011898831952
1658979237 419065362,0.008326424577017535 544802296,0.007226295472585722
419038119 3163806595,0.0217868233588045 419038124,0.03832120015034032
419038122 5321583805,0.09721465610097457 5321590254,0.30775006687914924 3163806595,0.07953774905089751
419038124 419038093,0.15181750503111366 419038119,0.03832120015034032
1658979251 1658978905,0.009341127781702444 419065362,0.011106068682819823
419038132 5268027148,0.38682245881852956 6434422124,0.006867806845162585 1410671659,0.0512409451286263 1194325167,0.05233865843981099
419038150 1186480474,0.017745377482288247 1188365835,0.03277390893835823
1658979271 775567851,0.015716996475748417 3351492855,0.023619414080242925
1296958409 1296958419,0.020955482816726483 419074454,0.015617272931069001 419074567,0.051111379020665614
1658979275 419065559,0.010263881929934753 1658979416,0.014070154752890376
1658979276 1658979417,0.007682568594250803 544802294,0.006481099233636695
1296958419 1296958409,0.020955482816726483 419074673,0.040057992360072105
419038164 1186111763,0.039246298871503514 6434422139,0.004405813395465971
419038165 854652695,0.030000252662648746 1180099722,0.0396779105695565 1234944975,0.10067009104895316
1296958421 419075266,0.01020719335741618 419075502,0.032712058036829646
1296958422 419074454,0.04964731675435744 419074532,0.006772983849977844 1296958422,0.12253164455828688
1688220581 1688220572,0.028971581725623127 1688220585,0.04746894291830331
4286186457 3800307771,0.002605042926450189 419054491,0.022541556054021212
1608909786 1608983490,0.08847288287072642 1235748379,0.045740855304458185
4286186458 419054546,0.008844071090830794 419054288,0.24502834987462355
1296958427 419074267,0.016362869247400092 1293212619,0.010615751337434497
2081817567 1306640734,0.06548978158904008 2081817585,0.029887686010971425
1688220583 1688220580,0.03196175427019044 1688220587,0.07063944338198833
419038184 2993242949,0.01295969255065842 1180099694,0.02918070493171911
419038186 1410671629,0.049163957935847706 6434422124,0.009954311842298565 1204264572,0.4280853057287529
1608909806 1608909725,0.1397339548787078 1038012163,0.03165158248862877
1608909808 1609007218,0.0610038558931611 1235748261,0.03052886459245551
2081817585 2081817567,0.029887686010971425 1306640681,0.025016324013519747
1658979325 1658979147,0.014556989807353718 419065506,0.011989271129478828
419038221 419038231,0.024885561219477714 1188214495,0.03292810573972523
1608909840 1608909726,0.11364086019198345 1608869225,0.07199536167318922
419038229 3163333038,0.07094463454755567 1188214500,0.041219161648363055
419038231 419038221,0.024885561219477714 419038244,0.03392490739271545
419038236 1251880999,0.07624138143154627 847563586,0.17192239255237843
419038244 419038231,0.03392490739271545 419038273,0.02904542481030855
419038273 419038244,0.02904542481030855 419038274,0.010916793505583345 1188214500,0.05790372640038064
419038274 419038273,0.010916793505583345 419038276,0.020867991368924723
1658979394 1658979207,0.006646473969779359 775567605,0.00656136660840751
419038276 419038274,0.020867991368924723 3163333030,0.07965505058937425
1658979396 1658978909,0.024634131149880275 1658979152,0.10083149769813242
419038280 6419087089,0.1710494594620624 1157135600,0.04666229971407772 1410671646,0.40654454015172 419038280,0.17615175122851184
419038285 1168791109,0.06364594156820294 1204385966,0.081028098277857 1204390752,0.04097993871682601 1204390790,0.12768454150986247
4230612053 5870667987,0.013055493726274443 4036077444,0.008091199360989003
7088505942 7088224891,0.010050631322354321 3762227962,0.03679441787567964
1299579991 419077976,0.24329822693517208 1299580029,0.07544433254704552 3557117939,0.021333902151270387
1631585368 419052833,0.03234479623597854 1631585374,0.035365233362552324
4230612057 5020173428,0.02835572597599302 4382666169,0.014543719955054645 6267365456,0.010542420663121001
1658979416 1658979048,0.015963886416140903 1658979275,0.014070154752890376
1658979417 1658979276,0.007682568594250803 775567893,0.005053147017731042
1299579996 1299580029,0.07065334219104806 6480756633,0.055446048713732606
419038302 1174077436,0.007799352658494653 1185033357,0.003786680718626297
1631585374 1631585368,0.035365233362552324 3766740024,0.02674525257130675
1299579994 1299579995,0.04653867380708724 1299580024,0.006246241592628992 1299580015,0.05329161603200913 1299580119,0.02461279208818962
419038305 1234944922,0.138878405066694 1236262489,0.04658486537165804
1299579995 1299579994,0.04653867380708724 1299580105,0.015685246050836196
419038307 1204385820,0.0441107254843783 1186111763,0.18513888968105782 1204390710,0.06709524446548265
1299580000 6480756632,0.017542934570086894 1299580080,0.03941461777990976
1299579999 1299580080,0.0035384801382084123 1299580062,0.030424453539394332
870974566 419039594,0.08455942234834374 419039808,0.07392988450618297
419038311 419038331,0.09642224857284203 419038436,0.11791943694637352 1244240031,0.0903731163522633 1234944950,0.07732794151950793
1299580005 1299580112,0.10185794022304516 1299580005,0.06576545806775362
1299580009 1299580028,0.11388689396823513 1299580009,0.1135328393811707
419038315 419038362,0.02431174055652921 1236570250,0.37973806328886595 1123393523,0.027011034947853334
419038316 419038333,0.03177844114724249 419038359,0.025636188129672194 419038316,0.028303782917888383
870974572 972074250,0.4426839188639137 419039634,0.07857857758531427
1299580013 1299580066,0.025973462562984412 1299580076,0.029740723915541493
419038319 1232373667,0.1571902039951544 419038369,0.04645123938797773 419038411,0.04798489642011052 419038491,0.3015545852318248
419038320 1207632904,0.01828112614859749 419038357,0.08035243861260749 419038432,0.25649925484306346 1207633143,0.010111931382575247
419038321 419038351,0.0722838796467982 854652189,0.029003212214071424 419038321,0.06396723220843081
419038322 1236570232,0.12445080236114157 1236570235,0.06342687773191143 419038398,0.06495238443378583 1186111795,0.255221896983975
419038323 419038329,0.03851483419344778 419038575,0.31584575240477436
1299580015 1299579994,0.05329161603200913 1299596460,0.11908213395182328 6480756623,0.07806667297280205 1299596432,0.06088310073749904
419038325 1186311180,0.018157550566641034 1186311338,0.16300119155532125
419038326 419038357,0.24903923378333961 419038368,0.03185313968684105 419038337,0.07439661758822202
1299580021 1299580053,0.04433097431111809 1299636701,0.03853423085632984 1299636700,0.059944595778355925
419038328 419038364,0.09650161637404608 1236570260,0.06745279132741858 419038442,0.12627143648673111
419038329 419038323,0.03851483419344778 419038761,0.42976493951893313
1658979448 419065992,0.03086690952653762 419066020,0.01692384358919262
419038331 419038311,0.09642224857284203 1234944947,0.08772490979594862 419038341,0.0661181304185364 419038409,0.0410688041386307
1299580024 1299579994,0.006246241592628992 1299580122,0.07024700456286949
419038333 419038316,0.03177844114724249 854653033,0.02497277024733091 419038347,0.16301076427597297
1299580029 1299579996,0.07065334219104806 1299579991,0.07544433254704552
1299580027 1299580113,0.058914196532947966 1299580086,0.014149491607909964
1299580028 1299580009,0.11388689396823513 1299580116,0.012723474217454544
419038337 419038326,0.07439661758822202 419038394,0.07886832914059758 419038352,0.09461461983205259 419038495,0.24695322628122898
419038338 419038495,0.11087774313868422 5623040970,0.04438241830134132 1119977681,0.06974981548609752
419038339 5703119063,0.009148003148710811 419038501,0.205360870192363
419038340 1244235580,0.09413669485773654 419038482,0.10259040084727969
419038341 419038331,0.0661181304185364 419038493,0.10625410747577624 419038418,0.14426665955200896
1658979460 544802281,0.13554133737251498 419065623,0.07800581271559669
1299580030 1299579993,0.038548969577089205 1299636761,0.014929134620410796 1299596517,0.013766702809295768
1299580040 1299580010,0.01793407939820088 1299580066,0.0320035216441585
419038345 4309730798,0.17026842963945557 6434422127,0.008599930442782277 2272063516,0.015272257400962035 1204390742,0.0969080780873311
419038346 419038353,0.023274909149523706 419038351,0.07999107738884846 419038350,0.059016380625956155 1234944973,0.08714133359564168
419038347 419038333,0.16301076427597297 419038349,0.030828593974059754 1236262513,0.05309523292365602
1299580039 6480756638,0.019212824491313563 6480756641,0.021027403395548257 6478615704,0.008503331662098232
419038349 419038347,0.030828593974059754 419038350,0.01724325630199231 1234944989,0.021289968829574065
419038350 419038349,0.01724325630199231 419038346,0.059016380625956155
419038351 419038321,0.0722838796467982 419038346,0.07999107738884846 1234944950,0.09564046045845792 1234944971,0.08728125850905273
419038352 419038337,0.09461461983205259 1247046914,0.0421904379207063 582976284,0.0823698930051366
419038353 419038346,0.023274909149523706 419038359,0.02483162977606031
1634993293 419062985,0.00877018980800021 419062915,0.008543706186790572
1299580050 1299596260,0.052003273871920636 1299580112,0.09582714029563248 1299580116,0.07767233224754416 1299580020,0.05918839450954968
419038356 6418947196,0.37786883193677473 6418947205,0.08382953200669115 6434422127,0.00945753438085932
419038357 419038320,0.08035243861260749 419038326,0.24903923378333961 1207633073,0.06151238860172516
419038358 1232393991,0.054571551826663185 3247302961,0.09780204228908815 419038371,0.04480153287437616
419038359 419038353,0.02483162977606031 419038316,0.025636188129672194
1299580053 1299580021,0.04433097431111809 1299580116,0.07429129258202874
419038361 1245459808,0.051043707660890204 419038386,0.20439058145017078 5703119060,0.02158093519287531
419038362 419038315,0.02431174055652921 419038773,0.7114272454800569 1123393432,0.03317939349025279
1299580052 6476253693,0.009711577031093252 6480756646,0.00958860432285372 7146642892,0.03628533474593727
419038364 419038328,0.09650161637404608 1236570253,0.025582622715315285
1299580060 1299580001,0.10920942865401317 1299580067,0.016734271174092662
1299580062 1299579999,0.030424453539394332 1299580090,0.023515646719830332
419038367 1236570233,0.2427252713572439 1236570242,0.012154289324166397
419038368 419038326,0.03185313968684105 1247046909,0.03985051288507467 1207632863,0.03204239474021738
419038369 419038319,0.04645123938797773 419038373,0.016701398426028195
419038370 1119977681,0.006332116297429102 419038509,0.4222398920965163 1609675138,0.08638678333038041
419038371 419038358,0.04480153287437616 419038373,0.014682560246124542 1232373879,0.1969812752910232
419038372 1186111822,0.17018137773580963 1236570235,0.08477881555796264
419038373 419038369,0.016701398426028195 419038371,0.014682560246124542
1299580066 1299580013,0.025973462562984412 1299580040,0.0320035216441585
1299580067 1299580060,0.016734271174092662 1299580109,0.028604115025216002
419038380 419038480,0.06169421731847042 1243617015,0.03390346166229749
419038381 419038428,0.042650710104637266 419038389,0.018598262681163595
1299580076 1299580013,0.029740723915541493 6478615699,0.0866200850421444 6757883684,0.1989609174918439 1299596260,0.07864953876015203
1299580078 1299580116,0.0848560814338192 1299579992,0.06261261853471704
1299580080 1299579999,0.0035384801382084123 1299580000,0.03941461777990976 6812499695,0.020535910383109084
419038386 419038361,0.20439058145017078 1339205953,0.044067884033029345 419038492,0.047805644726129165
5879891123 419061040,0.30312393577243735 419061585,0.008277058133080951
5879891124 419060727,0.008592346817556678 419060551,0.31297787988607356
419038389 419038381,0.018598262681163595 419038510,0.05200659948382554
1299580086 1299580027,0.014149491607909964 1299596353,0.03758748331451707 6757883684,0.12662771397054914
419038391 419038436,0.03468219593966492 419038488,0.023370774989146165
419038394 419038337,0.07886832914059758 419038455,0.08355247957808591 419038432,0.06834465712289578
419038395 419038511,0.0373800800752005 419038440,0.06396651079050494
6790317243 1256899893,0.01268973450853512 1256899849,0.04819887621406421
1548354748 1548354779,0.025908012942071325 1548354748,0.12972000434895042
419038398 1245459808,0.2506361972713693 419038322,0.06495238443378583 419038492,0.04910544142554863 419038579,0.1274860313346505
1299580090 1299580062,0.023515646719830332 1299580092,0.00925486113446976
1299580092 1299580090,0.00925486113446976 6480756666,0.001784727404404362
419038403 1199798263,0.0255489951864994 419038505,0.04523486003137794
1299580099 6480756666,0.009581079408463046 1299580017,0.013141388298457454
419038409 419038331,0.0410688041386307 419038441,0.05978379050281879
1299580105 1299579995,0.015685246050836196 1299580120,0.04936810406946816
419038411 419038319,0.04798489642011052 419038419,0.023248282267401738
419038412 1188556013,0.02991422618588019 1179983480,0.03330676520700503
1299580109 1299580067,0.028604115025216002 1299596579,0.010669987360687637
419038416 854652189,0.04087776746957986 6837040383,0.0018826380974012883
1299580112 1299580050,0.09582714029563248 1299580005,0.10185794022304516
419038418 419038341,0.14426665955200896 419038437,0.07458055119994492 7346077333,0.17855445025513347 419038418,0.15596514693616792
419038419 1609675138,0.41686916842783267 419038411,0.023248282267401738 419038509,0.08219008576625687 419038583,0.2914272770639708
6790317267 1256899834,0.017601301506922927 6790317267,0.02192067061148869
6363284691 4762767534,0.029074304474682577 419070088,0.013321958325089877
1299580116 1299580053,0.07429129258202874 1299580078,0.0848560814338192 1299580050,0.07767233224754416 1299580028,0.012723474217454544
419038423 419038567,0.18574659239875485 419038423,0.08728291304973301
6363284695 1707111800,0.06921801649901073 419070088,0.012131168256579776
1299580119 1299579994,0.02461279208818962 1299596262,0.02424294380895185
419038426 419038491,0.07520663781837257 1232373879,0.0835578796669806 419038474,0.0549785213356284 3232889563,0.042142075531690436
1548354779 1548354748,0.025908012942071325 1548354793,0.0045211118115040996
419038428 419038381,0.042650710104637266 419038431,0.03402900020617844 419038429,0.06911987584657815
419038429 419038428,0.06911987584657815 2391774520,0.054451156041055056
1299580122 1299580024,0.07024700456286949 1299580020,0.12115850040785837
419038431 419038428,0.03402900020617844 1186311086,0.10584469544690178
419038432 419038394,0.06834465712289578 419038320,0.25649925484306346
6363284705 419069498,0.014533552807840574 6934415094,0.11874587059182275
1337853147 5882954115,0.01842200181894771 1337853149,0.04926275411932232 5882954102,0.011261928470119444
1337853149 1337853147,0.04926275411932232 1337853156,0.009215277383951843
419038436 419038391,0.03468219593966492 419038311,0.11791943694637352
419038437 419038418,0.07458055119994492 1243617015,0.009872299246286636 419038669,0.17422336096041705
1337853156 1337853149,0.009215277383951843 1337853153,0.008793823039022137
6363284711 419068039,0.020147677768496457 1391962430,0.03767012490995256
419038440 419038395,0.06396651079050494 1186311086,0.0006310117973052311
